# chimera	E	m
11111111	0	0
11111112	0	15
11111113	0	10
11111121	4	15
11111122	4	30
11111123	4	25
11111131	5	9
11111132	5	24
11111133	5	19
11111211	36	12
11111212	36	27
11111213	36	22
11111221	38	27
11111222	38	42
11111223	38	37
11111231	41	21
11111232	41	36
11111233	41	31
11111311	9	7
11111312	9	22
11111313	9	17
11111321	13	22
11111322	13	37
11111323	13	32
11111331	10	16
11111332	10	31
11111333	10	26
11112111	41	95
11112112	41	85
11112113	41	98
11112121	45	85
11112122	45	70
11112123	45	83
11112131	46	99
11112132	46	84
11112133	46	97
11112211	51	88
11112212	51	73
11112213	51	86
11112221	53	73
11112222	53	58
11112223	53	71
11112231	56	87
11112232	56	72
11112233	56	85
11112311	52	102
11112312	52	88
11112313	52	101
11112321	56	88
11112322	56	73
11112323	56	86
11112331	53	102
11112332	53	87
11112333	53	100
11113111	21	70
11113112	21	73
11113113	21	60
11113121	25	75
11113122	25	78
11113123	25	65
11113131	26	61
11113132	26	64
11113133	26	51
11113211	57	78
11113212	57	81
11113213	57	68
11113221	59	83
11113222	59	86
11113223	59	73
11113231	62	69
11113232	62	72
11113233	62	59
11113311	24	63
11113312	24	66
11113313	24	53
11113321	28	68
11113322	28	71
11113323	28	58
11113331	25	54
11113332	25	57
11113333	25	44
11121111	23	15
11121112	23	30
11121113	23	25
11121121	27	30
11121122	27	45
11121123	27	40
11121131	28	24
11121132	28	39
11121133	28	34
11121211	57	27
11121212	57	42
11121213	57	37
11121221	59	42
11121222	59	57
11121223	59	52
11121231	62	36
11121232	62	51
11121233	62	46
11121311	32	22
11121312	32	37
11121313	32	32
11121321	36	37
11121322	36	52
11121323	36	47
11121331	33	31
11121332	33	46
11121333	33	41
11122111	39	85
11122112	39	70
11122113	39	83
11122121	43	70
11122122	43	55
11122123	43	68
11122131	44	84
11122132	44	69
11122133	44	82
11122211	47	73
11122212	47	58
11122213	47	71
11122221	49	58
11122222	49	43
11122223	49	56
11122231	52	72
11122232	52	57
11122233	52	70
11122311	50	88
11122312	50	73
11122313	50	86
11122321	54	73
11122322	54	58
11122323	54	71
11122331	51	87
11122332	51	72
11122333	51	85
11123111	38	70
11123112	38	73
11123113	38	60
11123121	42	75
11123122	42	78
11123123	42	65
11123131	43	61
11123132	43	64
11123133	43	51
11123211	72	78
11123212	72	81
11123213	72	68
11123221	74	83
11123222	74	86
11123223	74	73
11123231	77	69
11123232	77	72
11123233	77	59
11123311	41	63
11123312	41	66
11123313	41	53
11123321	45	68
11123322	45	71
11123323	45	58
11123331	42	54
11123332	42	57
11123333	42	44
