# chimera	E	m
11111111	0	0
11111112	0	10
11111113	0	15
11111121	0	9
11111122	0	19
11111123	0	24
11111131	0	15
11111132	0	25
11111133	0	30
11111211	1	7
11111212	1	17
11111213	1	22
11111221	1	16
11111222	1	26
11111223	1	31
11111231	1	22
11111232	1	32
11111233	1	37
11111311	11	12
11111312	11	22
11111313	11	27
11111321	11	21
11111322	11	31
11111323	11	36
11111331	11	27
11111332	11	37
11111333	11	42
11112111	16	70
11112112	16	60
11112113	16	73
11112121	16	61
11112122	16	51
11112123	16	64
11112131	16	75
11112132	16	65
11112133	16	78
11112211	17	63
11112212	17	53
11112213	17	66
11112221	17	54
11112222	17	44
11112223	17	57
11112231	17	68
11112232	17	58
11112233	17	71
11112311	27	78
11112312	27	68
11112313	27	81
11112321	27	69
11112322	27	59
11112323	27	72
11112331	27	83
11112332	27	73
11112333	27	86
11113111	42	95
11113112	42	98
11113113	42	85
11113121	42	99
11113122	42	97
11113123	42	84
11113131	42	85
11113132	42	83
11113133	42	70
11113211	44	102
11113212	44	101
11113213	44	88
11113221	44	102
11113222	44	100
11113223	44	87
11113231	44	88
11113232	44	86
11113233	44	73
11113311	43	88
11113312	43	86
11113313	43	73
11113321	43	87
11113322	43	85
11113323	43	72
11113331	43	73
11113332	43	71
11113333	43	58
11121111	28	12
11121112	28	22
11121113	28	27
11121121	28	21
11121122	28	31
11121123	28	36
11121131	28	27
11121132	28	37
11121133	28	42
11121211	29	19
11121212	29	29
11121213	29	34
11121221	29	28
11121222	29	38
11121223	29	43
11121231	29	34
11121232	29	44
11121233	29	49
11121311	39	24
11121312	39	34
11121313	39	39
11121321	39	33
11121322	39	43
11121323	39	48
11121331	39	39
11121332	39	49
11121333	39	54
11122111	32	58
11122112	32	48
11122113	32	61
11122121	32	49
11122122	32	39
11122123	32	52
11122131	32	63
11122132	32	53
11122133	32	66
11122211	33	51
11122212	33	41
11122213	33	54
11122221	33	42
11122222	33	32
11122223	33	45
11122231	33	56
11122232	33	46
11122233	33	59
11122311	43	66
11122312	43	56
11122313	43	69
11122321	43	57
11122322	43	47
11122323	43	60
11122331	43	71
11122332	43	61
11122333	43	74
11123111	61	100
11123112	61	98
11123113	61	85
11123121	61	99
11123122	61	97
11123123	61	84
11123131	61	85
11123132	61	83
11123133	61	70
11123211	63	103
11123212	63	101
11123213	63	88
11123221	63	102
11123222	63	100
11123223	63	87
11123231	63	88
11123232	63	86
11123233	63	73
11123311	62	88
11123312	62	86
