# No bin width specified; using bin width=1.0.
# RASPP took 29.85 secs
# RASPP found 650 results
# RASPP found 18 unique (<E>,<m>) points
# RASPP curve took 33.15 secs
# <E>	<m>	crossover points
39.8889	56.6647	20 36 52 74 217 235 255 
40.8889	63.2768	134 157 173 188 211 230 251 
41.3333	66.6677	124 157 173 188 211 230 251 
41.7778	71.3362	112 142 158 174 211 230 251 
42.5556	71.9314	111 134 157 174 211 231 253 
41.8889	73.1323	97 157 173 188 211 230 251 
43.0000	74.2870	90 157 173 188 211 230 251 
47.4444	74.6877	20 61 85 183 208 230 253 
43.2222	76.2483	66 157 173 188 211 230 251 
43.6667	76.8171	74 155 172 188 211 230 251 
44.3333	78.0908	66 149 173 188 211 230 251 
45.2222	78.8858	66 142 158 174 211 230 251 
47.6667	79.7258	61 85 157 174 211 231 253 
49.8889	81.4258	16 66 134 173 211 230 251 
50.5556	81.7516	17 66 124 173 211 231 253 
53.7778	82.6671	20 66 111 157 174 211 231 
54.3333	83.6868	20 61 112 144 173 211 232 
59.0000	84.6923	30 66 112 144 176 211 243 
