# No bin width specified; using bin width=1.0.
# RASPP took 30.91 secs
# RASPP found 650 results
# RASPP found 16 unique (<E>,<m>) points
# RASPP curve took 29.30 secs
# <E>	<m>	crossover points
45.3333	59.3178	24 41 57 78 93 235 255 
47.0000	67.0643	24 41 58 97 217 235 255 
47.6667	71.0127	24 41 58 97 204 235 255 
48.6667	71.4371	23 41 58 97 202 232 254 
49.8889	72.6645	23 41 58 108 202 232 254 
47.6667	74.9392	23 70 97 192 217 235 255 
48.2222	75.9087	23 70 108 192 217 235 255 
49.5556	76.4275	23 70 108 189 217 235 255 
50.8889	77.5469	23 70 108 186 217 235 255 
52.2222	78.8828	23 70 93 122 160 235 255 
52.3333	80.1664	23 70 97 174 192 235 255 
52.8889	80.7560	23 70 108 174 192 235 255 
53.7778	82.2559	23 70 97 160 192 235 255 
54.3333	82.3602	23 70 97 160 192 232 254 
55.3333	83.3629	23 70 93 123 160 192 238 
57.4444	84.4845	30 66 97 133 160 192 238 
