# chimera	E	m
11111111	0	0
11111112	0	4
11111113	0	3
11111121	0	5
11111122	0	9
11111123	0	8
11111131	0	2
11111132	0	6
11111133	0	5
11111211	0	4
11111212	0	8
11111213	0	7
11111221	0	9
11111222	0	13
11111223	0	12
11111231	0	6
11111232	0	10
11111233	0	9
11111311	0	5
11111312	0	9
11111313	0	8
11111321	0	10
11111322	0	14
11111323	0	13
11111331	0	7
11111332	0	11
11111333	0	10
11112111	0	5
11112112	0	9
11112113	0	8
11112121	0	10
11112122	0	14
11112123	0	13
11112131	0	7
11112132	0	11
11112133	0	10
11112211	0	9
11112212	0	13
11112213	0	12
11112221	0	14
11112222	0	18
11112223	0	17
11112231	0	11
11112232	0	15
11112233	0	14
11112311	0	10
11112312	0	14
11112313	0	13
11112321	0	15
11112322	0	19
11112323	0	18
11112331	0	12
11112332	0	16
11112333	0	15
11113111	0	4
11113112	0	8
11113113	0	7
11113121	0	9
11113122	0	13
11113123	0	12
11113131	0	6
11113132	0	10
11113133	0	9
11113211	0	8
11113212	0	12
11113213	0	11
11113221	0	13
11113222	0	17
11113223	0	16
11113231	0	10
11113232	0	14
11113233	0	13
11113311	0	9
11113312	0	13
11113313	0	12
11113321	0	14
11113322	0	18
11113323	0	17
11113331	0	11
11113332	0	15
11113333	0	14
11121111	1	4
11121112	1	8
11121113	1	7
11121121	1	9
11121122	1	13
11121123	1	12
11121131	1	6
11121132	1	10
11121133	1	9
11121211	1	8
11121212	1	12
11121213	1	11
11121221	1	13
11121222	1	17
11121223	1	16
11121231	1	10
11121232	1	14
11121233	1	13
11121311	1	9
11121312	1	13
11121313	1	12
11121321	1	14
11121322	1	18
11121323	1	17
11121331	1	11
11121332	1	15
11121333	1	14
11122111	1	9
11122112	1	13
11122113	1	12
11122121	1	14
11122122	1	18
11122123	1	17
11122131	1	11
11122132	1	15
11122133	1	14
11122211	1	13
11122212	1	17
11122213	1	16
11122221	1	18
11122222	1	22
11122223	1	21
11122231	1	15
11122232	1	19
11122233	1	18
11122311	1	14
11122312	1	18
11122313	1	17
11122321	1	19
11122322	1	23
11122323	1	22
11122331	1	16
11122332	1	20
11122333	1	19
11123111	1	8
11123112	1	12
11123113	1	11
11123121	1	13
11123122	1	17
11123123	1	16
11123131	1	10
11123132	1	14
11123133	1	13
11123211	1	12
11123212	1	16
11123213	1	15
11123221	1	17
11123222	1	21
11123223	1	20
11123231	1	14
11123232	1	18
11123233	1	17
11123311	1	13
11123312	1	17
11123313	1	16
11123321	1	18
11123322	1	22
11123323	1	21
11123331	1	15
11123332	1	19
11123333	1	18
11131111	0	2
11131112	0	6
11131113	0	5
11131121	0	7
11131122	0	11
11131123	0	10
11131131	0	4
11131132	0	8
11131133	0	7
11131211	0	6
11131212	0	10
11131213	0	9
11131221	0	11
11131222	0	15
11131223	0	14
11131231	0	8
11131232	0	12
11131233	0	11
11131311	0	7
11131312	0	11
11131313	0	10
11131321	0	12
11131322	0	16
11131323	0	15
11131331	0	9
11131332	0	13
11131333	0	12
11132111	0	7
11132112	0	11
11132113	0	10
11132121	0	12
11132122	0	16
11132123	0	15
11132131	0	9
11132132	0	13
11132133	0	12
11132211	0	11
11132212	0	15
11132213	0	14
11132221	0	16
11132222	0	20
11132223	0	19
11132231	0	13
11132232	0	17
11132233	0	16
11132311	0	12
11132312	0	16
11132313	0	15
11132321	0	17
11132322	0	21
11132323	0	20
11132331	0	14
11132332	0	18
11132333	0	17
11133111	0	6
11133112	0	10
11133113	0	9
11133121	0	11
11133122	0	15
11133123	0	14
11133131	0	8
11133132	0	12
11133133	0	11
11133211	0	10
11133212	0	14
11133213	0	13
11133221	0	15
11133222	0	19
11133223	0	18
11133231	0	12
11133232	0	16
11133233	0	15
11133311	0	11
11133312	0	15
11133313	0	14
11133321	0	16
11133322	0	20
11133323	0	19
11133331	0	13
11133332	0	17
11133333	0	16
11211111	1	22
11211112	1	18
11211113	1	23
11211121	1	17
11211122	1	13
11211123	1	18
11211131	1	22
11211132	1	18
11211133	1	23
11211211	1	18
11211212	1	14
11211213	1	19
11211221	1	13
11211222	1	9
11211223	1	14
11211231	1	18
11211232	1	14
11211233	1	19
11211311	1	23
11211312	1	19
11211313	1	24
11211321	1	18
11211322	1	14
11211323	1	19
11211331	1	23
11211332	1	19
11211333	1	24
11212111	1	17
11212112	1	13
11212113	1	18
11212121	1	12
11212122	1	8
11212123	1	13
11212131	1	17
