# chimera	E	m
11111111	0	0
11111112	0	13
11111113	0	10
11111121	12	14
11111122	12	27
11111123	12	24
11111131	6	9
11111132	6	22
11111133	6	19
11111211	42	88
11111212	42	75
11111213	42	90
11111221	36	74
11111222	36	61
11111223	36	76
11111231	44	89
11111232	44	76
11111233	44	91
11111311	23	67
11111312	23	78
11111313	23	63
11111321	31	79
11111322	31	84
11111323	31	69
11111331	23	64
11111332	23	69
11111333	23	54
11112111	26	14
11112112	26	27
11112113	26	24
11112121	38	28
11112122	38	41
11112123	38	38
11112131	32	23
11112132	32	36
11112133	32	33
11112211	44	74
11112212	44	61
11112213	44	76
11112221	38	60
11112222	38	47
11112223	38	62
11112231	46	75
11112232	46	62
11112233	46	77
11112311	39	79
11112312	39	84
11112313	39	69
11112321	47	85
11112322	47	90
11112323	47	75
11112331	39	70
11112332	39	75
11112333	39	60
11113111	13	8
11113112	13	21
11113113	13	18
11113121	25	22
11113122	25	35
11113123	25	32
11113131	19	17
11113132	19	30
11113133	19	27
11113211	47	88
11113212	47	75
11113213	47	90
11113221	41	74
11113222	41	61
11113223	41	76
11113231	49	89
11113232	49	76
11113233	49	91
11113311	22	65
11113312	22	70
11113313	22	55
11113321	30	71
11113322	30	76
11113323	30	61
11113331	22	56
11113332	22	61
11113333	22	46
11121111	32	13
11121112	32	26
11121113	32	23
11121121	44	27
11121122	44	40
11121123	44	37
11121131	38	22
11121132	38	35
11121133	38	32
11121211	58	75
11121212	58	62
11121213	58	77
11121221	52	61
11121222	52	48
11121223	52	63
11121231	60	76
11121232	60	63
11121233	60	78
11121311	48	76
11121312	48	81
11121313	48	66
11121321	56	82
11121322	56	87
11121323	56	72
11121331	48	67
11121332	48	72
11121333	48	57
11122111	34	27
11122112	34	40
11122113	34	37
11122121	46	41
11122122	46	54
11122123	46	51
11122131	40	36
11122132	40	49
11122133	40	46
11122211	36	61
11122212	36	48
11122213	36	63
11122221	30	47
11122222	30	34
11122223	30	49
11122231	38	62
11122232	38	49
11122233	38	64
11122311	40	82
11122312	40	87
11122313	40	72
11122321	48	88
11122322	48	93
11122323	48	78
11122331	40	73
11122332	40	78
11122333	40	63
11123111	44	21
11123112	44	34
11123113	44	31
11123121	56	35
11123122	56	48
11123123	56	45
11123131	50	30
11123132	50	43
11123133	50	40
11123211	62	75
11123212	62	62
11123213	62	77
11123221	56	61
11123222	56	48
11123223	56	63
11123231	64	76
11123232	64	63
11123233	64	78
11123311	46	68
11123312	46	73
11123313	46	58
11123321	54	74
11123322	54	79
11123323	54	64
11123331	46	59
11123332	46	64
11123333	46	49
11131111	18	10
11131112	18	23
11131113	18	20
11131121	30	24
11131122	30	37
11131123	30	34
11131131	24	19
11131132	24	32
11131133	24	29
11131211	55	88
11131212	55	75
11131213	55	90
11131221	49	74
11131222	49	61
11131223	49	76
11131231	57	89
11131232	57	76
11131233	57	91
11131311	35	63
11131312	35	68
11131313	35	53
11131321	43	69
11131322	43	74
11131323	43	59
11131331	35	54
11131332	35	59
11131333	35	44
11132111	42	24
11132112	42	37
11132113	42	34
11132121	54	38
11132122	54	51
11132123	54	48
11132131	48	33
11132132	48	46
11132133	48	43
11132211	55	74
11132212	55	61
11132213	55	76
11132221	49	60
11132222	49	47
11132223	49	62
11132231	57	75
11132232	57	62
11132233	57	77
11132311	49	69
11132312	49	74
11132313	49	59
11132321	57	75
11132322	57	80
11132323	57	65
11132331	49	60
11132332	49	65
11132333	49	50
11133111	25	18
11133112	25	31
11133113	25	28
11133121	37	32
11133122	37	45
11133123	37	42
11133131	31	27
11133132	31	40
11133133	31	37
11133211	54	88
11133212	54	75
11133213	54	90
11133221	48	74
11133222	48	61
11133223	48	76
11133231	56	89
11133232	56	76
11133233	56	91
11133311	28	55
11133312	28	60
11133313	28	45
11133321	36	61
11133322	36	66
11133323	36	51
11133331	28	46
11133332	28	51
11133333	28	36
11211111	16	14
11211112	16	27
11211113	16	24
11211121	24	28
11211122	24	41
11211123	24	38
11211131	20	23
11211132	20	36
11211133	20	33
11211211	46	74
11211212	46	61
11211213	46	76
11211221	36	60
11211222	36	47
11211223	36	62
11211231	46	75
11211232	46	62
11211233	46	77
11211311	33	79
